numero_documento;tipo_documento;nombres_usuario;apellidos_usuario;direccion_usuario;telefono_fijo;celular;email;log_user;password;clave;fk_id_rol;fk_codigo_dane
3064;1;GRUPO ASD;Cocorna;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3064;;3064;4;3064
1502;1;GRUPO ASD;Concordia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1502;;1502;4;1502
1657;1;GRUPO ASD;Copacabana;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1657;;1657;4;1657
1485;1;GRUPO ASD;El Bagre;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1485;;1485;4;1485
1656;1;GRUPO ASD;Ituango;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1656;;1656;4;1656
1618;1;GRUPO ASD;La Pintada;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1618;;1618;4;1618
1655;1;GRUPO ASD;Marinilla;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1655;;1655;4;1655
1569;1;GRUPO ASD;Murindo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1569;;1569;4;1569
3071;1;GRUPO ASD;Necocli;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3071;;3071;4;3071
1621;1;GRUPO ASD;Puerto Berrio;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1621;;1621;4;1621
1570;1;GRUPO ASD;Remedios;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1570;;1570;4;1570
1503;1;GRUPO ASD;Santa Rosa De Osos;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1503;;1503;4;1503
3001;1;GRUPO ASD;Santafe de Antioquia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3001;;3001;4;3001
1620;1;GRUPO ASD;Sonson;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1620;;1620;4;1620
1654;1;GRUPO ASD;Uramita;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1654;;1654;4;1654
1533;1;GRUPO ASD;Vigia Del Fuerte;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1533;;1533;4;1533
1499;1;GRUPO ASD;Yarumal;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1499;;1499;4;1499
1619;1;GRUPO ASD;Yolombo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1619;;1619;4;1619
1437;1;GRUPO ASD;Yondo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1437;;1437;4;1437
1575;1;GRUPO ASD;Apartado;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1575;;1575;4;1575
1550;1;GRUPO ASD;Arauca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1550;;1550;4;1550
1649;1;GRUPO ASD;Arauquita;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1649;;1649;4;1649
2005;1;GRUPO ASD;Cravo Norte - Arauca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;2005;;2005;4;2005
1611;1;GRUPO ASD;Fortul;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1611;;1611;4;1611
1375;1;GRUPO ASD;Puerto Rondon;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1375;;1375;4;1375
1450;1;GRUPO ASD;Saravena;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1450;;1450;4;1450
1650;1;GRUPO ASD;Tame;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1650;;1650;4;1650
1595;1;GRUPO ASD;Armenia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1595;;1595;4;1595
1624;1;GRUPO ASD;Baranoa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1624;;1624;4;1624
1505;1;GRUPO ASD;Campo De La Cruz;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1505;;1505;4;1505
1382;1;GRUPO ASD;Juan De Acosta;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1382;;1382;4;1382
1451;1;GRUPO ASD;Sabanagrande;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1451;;1451;4;1451
1551;1;GRUPO ASD;Sabanalarga;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1551;;1551;4;1551
1365;1;GRUPO ASD;Barrancabermeja;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1365;;1365;4;1365
1506;1;GRUPO ASD;Barranquilla - Metropolitana;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1506;;1506;4;1506
1578;1;GRUPO ASD;Barranquilla - Norte Centro Historico;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1578;;1578;4;1578
1418;1;GRUPO ASD;Barranquilla - Riomar;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1418;;1418;4;1418
1452;1;GRUPO ASD;Barranquilla - Suroccidente;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1452;;1452;4;1452
1507;1;GRUPO ASD;Barranquilla - Suroriente;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1507;;1507;4;1507
1417;1;GRUPO ASD;Bello;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1417;;1417;4;1417
1456;1;GRUPO ASD;Bogota - 01 Usaquen;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1456;;1456;4;1456
1579;1;GRUPO ASD;Bogota - 02 Chapinero;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1579;;1579;4;1579
1510;1;GRUPO ASD;Bogota - 05 Usme;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1510;;1510;4;1510
1625;1;GRUPO ASD;Bogota - 06 Tunjuelito;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1625;;1625;4;1625
1453;1;GRUPO ASD;Bogota - 07 Bosa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1453;;1453;4;1453
1419;1;GRUPO ASD;Bogota - 08 Kennedy;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1419;;1419;4;1419
1509;1;GRUPO ASD;Bogota - 09 Fontibon;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1509;;1509;4;1509
1580;1;GRUPO ASD;Bogota - 10 Engativa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1580;;1580;4;1580
1384;1;GRUPO ASD;Bogota - 11 Suba;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1384;;1384;4;1384
1348;1;GRUPO ASD;Bogota - 12 Barrios Unidos;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1348;;1348;4;1348
1581;1;GRUPO ASD;Bogota - 14 Los Martires;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1581;;1581;4;1581
1508;1;GRUPO ASD;Bogota - 15 Antonio Narino;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1508;;1508;4;1508
1454;1;GRUPO ASD;Bogota - 16 Puente Aranda;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1454;;1454;4;1454
1552;1;GRUPO ASD;Bogota - 17 La Candelaria;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1552;;1552;4;1552
1350;1;GRUPO ASD;Bogota - 18 Rafael Uribe;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1350;;1350;4;1350
1349;1;GRUPO ASD;Bogota - 19 Ciudad Bolivar;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1349;;1349;4;1349
1455;1;GRUPO ASD;Bogota - 4 San Cristobal;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1455;;1455;4;1455
1402;1;GRUPO ASD;Achi;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1402;;1402;4;1402
1457;1;GRUPO ASD;El Carmen De Bolivar;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1457;;1457;4;1457
1626;1;GRUPO ASD;Mompos;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1626;;1626;4;1626
1438;1;GRUPO ASD;San Pablo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1438;;1438;4;1438
1420;1;GRUPO ASD;Simiti;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1420;;1420;4;1420
1385;1;GRUPO ASD;Turbaco;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1385;;1385;4;1385
1421;1;GRUPO ASD;Chiquinquira;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1421;;1421;4;1421
1386;1;GRUPO ASD;Garagoa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1386;;1386;4;1386
1403;1;GRUPO ASD;Paipa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1403;;1403;4;1403
1511;1;GRUPO ASD;Puerto Boyaca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1511;;1511;4;1511
1352;1;GRUPO ASD;Ramiriqui;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1352;;1352;4;1352
1555;1;GRUPO ASD;Soata;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1555;;1555;4;1555
1607;1;GRUPO ASD;Tibasosa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1607;;1607;4;1607
1554;1;GRUPO ASD;Tunja - Punto 2;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1554;;1554;4;1554
1532;1;GRUPO ASD;Bucaramanga Ntra. Sra. Del Pilar;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1532;;1532;4;1532
1481;1;GRUPO ASD;Bucaramanga Salesiano Eloy. V.;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1481;;1481;4;1481
1433;1;GRUPO ASD;IE Camacho  Carreno;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1433;;1433;4;1433
1377;1;GRUPO ASD;Buenaventura;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1377;;1377;4;1377
1492;1;GRUPO ASD;Buga;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1492;;1492;4;1492
1423;1;GRUPO ASD;La Dorada;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1423;;1423;4;1423
1512;1;GRUPO ASD;Manizales - Gobernacion 1;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1512;;1512;4;1512
1486;1;GRUPO ASD;Norcasia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1486;;1486;4;1486
1640;1;GRUPO ASD;Pensilvania;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1640;;1640;4;1640
1366;1;GRUPO ASD;Salamina;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1366;;1366;4;1366
1910;1;GRUPO ASD;Samana;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1910;;1910;4;1910
3002;1;GRUPO ASD;Supia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3002;;3002;4;3002
3003;1;GRUPO ASD;Viterbo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3003;;3003;4;3003
1378;1;GRUPO ASD;Cali - Centro;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1378;;1378;4;1378
1446;1;GRUPO ASD;Cali - Nororiente;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1446;;1446;4;1446
1494;1;GRUPO ASD;Cali - Norte;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1494;;1494;4;1494
1415;1;GRUPO ASD;Cali - Oriente;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1415;;1415;4;1415
1447;1;GRUPO ASD;Cali - Sur;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1447;;1447;4;1447
1615;1;GRUPO ASD;Cali - Suroriente;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1615;;1615;4;1615
1439;1;GRUPO ASD;Cartagena Del Chaira;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1439;;1439;4;1439
1354;1;GRUPO ASD;El Doncello;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1354;;1354;4;1354
1556;1;GRUPO ASD;Florencia - Punto 2;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1556;;1556;4;1556
1424;1;GRUPO ASD;San Jose Del Fragua;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1424;;1424;4;1424
1641;1;GRUPO ASD;San Vicente Del Caguan;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1641;;1641;4;1641
1367;1;GRUPO ASD;Solano;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1367;;1367;4;1367
1404;1;GRUPO ASD;Solita;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1404;;1404;4;1404
1459;1;GRUPO ASD;Valparaiso;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1459;;1459;4;1459
1425;1;GRUPO ASD;Cartagena - Country;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1425;;1425;4;1425
1460;1;GRUPO ASD;Cartagena - Industrial Y De Bahia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1460;;1460;4;1460
1583;1;GRUPO ASD;Cartagena - Rural;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1583;;1583;4;1583
1461;1;GRUPO ASD;Cartagena - Santa Rita;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1461;;1461;4;1461
1514;1;GRUPO ASD;Cartagena - Virgen Y De Turismo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1514;;1514;4;1514
1493;1;GRUPO ASD;Cartago (Certificado);SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1493;;1493;4;1493
1516;1;GRUPO ASD;Aguazul;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1516;;1516;4;1516
1411;1;GRUPO ASD;Orocue;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1411;;1411;4;1411
1557;1;GRUPO ASD;Paz De Ariporo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1557;;1557;4;1557
1541;1;GRUPO ASD;San Luis De Palenque;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1541;;1541;4;1541
1489;1;GRUPO ASD;Villanueva - Casanare;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1489;;1489;4;1489
1515;1;GRUPO ASD;Yopal (Departamental);SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1515;;1515;4;1515
1609;1;GRUPO ASD;Argelia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1609;;1609;4;1609
2002;1;GRUPO ASD;Oficina De Direccion De Nucleo Educativo - Alcaldia Municipal Bolivar Cauca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;2002;;2002;4;2002
3091;1;GRUPO ASD;Buenos Aires;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3091;;3091;4;3091
1368;1;GRUPO ASD;Corinto;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1368;;1368;4;1368
1517;1;GRUPO ASD;Guapi;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1517;;1517;4;1517
1463;1;GRUPO ASD;Inza;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1463;;1463;4;1463
1584;1;GRUPO ASD;La Vega;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1584;;1584;4;1584
1518;1;GRUPO ASD;Lopez;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1518;;1518;4;1518
1405;1;GRUPO ASD;Miranda;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1405;;1405;4;1405
1440;1;GRUPO ASD;Paez;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1440;;1440;4;1440
1519;1;GRUPO ASD;Patia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1519;;1519;4;1519
1487;1;GRUPO ASD;Piamonte;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1487;;1487;4;1487
1426;1;GRUPO ASD;Popayan - Punto 2;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1426;;1426;4;1426
1653;1;GRUPO ASD;Puerto Tejada;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1653;;1653;4;1653
3090;1;GRUPO ASD;Rosas;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3090;;3090;4;3090
1642;1;GRUPO ASD;San Sebastian;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1642;;1642;4;1642
1462;1;GRUPO ASD;Santander De Quilichao;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1462;;1462;4;1462
1355;1;GRUPO ASD;Timbiqui;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1355;;1355;4;1355
2001;1;GRUPO ASD;Oficina De Direccion De Nucleo Educativo - Alcaldia Municipal Toribio Cauca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;2001;;2001;4;2001
1465;1;GRUPO ASD;Aguachica;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1465;;1465;4;1465
1643;1;GRUPO ASD;Bosconia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1643;;1643;4;1643
1464;1;GRUPO ASD;Curumani;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1464;;1464;4;1464
1630;1;GRUPO ASD;La Paz;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1630;;1630;4;1630
1645;1;GRUPO ASD;Chia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1645;;1645;4;1645
1536;1;GRUPO ASD;Acandi;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1536;;1536;4;1536
1488;1;GRUPO ASD;Bahia Solano;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1488;;1488;4;1488
1537;1;GRUPO ASD;Bajo Baudo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1537;;1537;4;1537
1538;1;GRUPO ASD;Bojaya;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1538;;1538;4;1538
2003;1;GRUPO ASD;El Litoral Del San Juan - Ie Ramon Lozano Garces;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;2003;;2003;4;2003
1559;1;GRUPO ASD;Istmina;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1559;;1559;4;1559
1427;1;GRUPO ASD;Medio Baudo;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1427;;1427;4;1427
1612;1;GRUPO ASD;Nuqui;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1612;;1612;4;1612
1357;1;GRUPO ASD;Quibdo - Zona 2;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1357;;1357;4;1357
1356;1;GRUPO ASD;Riosucio;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1356;;1356;4;1356
1585;1;GRUPO ASD;Tado;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1585;;1585;4;1585
1370;1;GRUPO ASD;Unguia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1370;;1370;4;1370
1471;1;GRUPO ASD;Cienaga;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1471;;1471;4;1471
3070;1;GRUPO ASD;Ayapel;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3070;;3070;4;3070
1466;1;GRUPO ASD;Cerete;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1466;;1466;4;1466
1388;1;GRUPO ASD;Chinu;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1388;;1388;4;1388
1560;1;GRUPO ASD;Montelibano;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1560;;1560;4;1560
1631;1;GRUPO ASD;Monteria - Punto Departamental;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1631;;1631;4;1631
3072;1;GRUPO ASD;Puerto Escondido;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;3072;;3072;4;3072
1644;1;GRUPO ASD;Puerto Libertador;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1644;;1644;4;1644
1441;1;GRUPO ASD;Tierralta;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1441;;1441;4;1441
1610;1;GRUPO ASD;Valencia;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1610;;1610;4;1610
1475;1;GRUPO ASD;Cucuta - Centro;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1475;;1475;4;1475
1594;1;GRUPO ASD;Cucuta - Guaimaral;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1594;;1594;4;1594
1395;1;GRUPO ASD;Cucuta - Libertadores;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1395;;1395;4;1395
1362;1;GRUPO ASD;Cucuta - Popular;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1362;;1362;4;1362
1432;1;GRUPO ASD;Cucuta - Tucunare;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1432;;1432;4;1432
1391;1;GRUPO ASD;Caqueza;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1391;;1391;4;1391
1586;1;GRUPO ASD;Choconta;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1586;;1586;4;1586
1522;1;GRUPO ASD;Gacheta;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1522;;1522;4;1522
1523;1;GRUPO ASD;Girardot (Punto 2 - Departamental);SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1523;;1523;4;1523
1561;1;GRUPO ASD;Guaduas;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1561;;1561;4;1561
1588;1;GRUPO ASD;La Mesa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1588;;1588;4;1588
1587;1;GRUPO ASD;Pacho;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1587;;1587;4;1587
1390;1;GRUPO ASD;San Juan De Rio Seco;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1390;;1390;4;1390
1589;1;GRUPO ASD;Silvania;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1589;;1589;4;1589
1633;1;GRUPO ASD;Soacha (Punto 2 - Departamental);SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1633;;1633;4;1633
1469;1;GRUPO ASD;Ubate;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1469;;1469;4;1469
1389;1;GRUPO ASD;Villeta;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1389;;1389;4;1389
1468;1;GRUPO ASD;Zipaquira (Punto 2 - Departamental);SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1468;;1468;4;1468
1530;1;GRUPO ASD;Dos Quebradas;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1530;;1530;4;1530
1627;1;GRUPO ASD;Duitama - Zona Centro;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1627;;1627;4;1627
1623;1;GRUPO ASD;Envigado;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1623;;1623;4;1623
1562;1;GRUPO ASD;Facatativa;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1562;;1562;4;1562
1629;1;GRUPO ASD;Florencia - Punto 1;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1629;;1629;4;1629
1599;1;GRUPO ASD;Floridablanca;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1599;;1599;4;1599
1563;1;GRUPO ASD;Fusagasuga;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1563;;1563;4;1563
1467;1;GRUPO ASD;Girardot;SIN INFORMACION;9999999;9999999999;grupoasd123@grupoasd.com.co;1467;;1467;4;1467
